page,section,group,model,variant,part_number,msrp,mode
7,Axis box cameras,AXIS Q17 Series,AXIS Q1728-LE,,03210-001,"$1,899.00",A
7,Axis box cameras,AXIS Q17 Series,AXIS Q1728-LE,48 mm,03211-001,"$1,899.00",A
7,Axis box cameras,AXIS Q17 Series,AXIS Q1728,,02839-001,"$1,269.00",A
7,Axis box cameras,AXIS Q17 Series,AXIS Q1728,48 mm,02840-001,"$1,269.00",A
7,Axis box cameras,AXIS Q17 Series,AXIS Q1726-LE,,03393-001,"$1,799.00",A
7,Axis box cameras,AXIS Q17 Series,AXIS Q1726,,03392-001,"$1,099.00",A
7,Axis box cameras,AXIS Q17 Series,AXIS Q1715,,02220-001,"$1,159.00",A
9,Axis box cameras,AXIS Q16 Series,AXIS Q1686-DLE,,02968-001,"$4,129.00",A
9,Axis box cameras,AXIS Q16 Series,AXIS Q1656-DLE,,02420-001,"$2,649.00",A
9,Axis box cameras,AXIS Q16 Series,AXIS Q1656,,02164-001,"$1,379.00",A
9,Axis box cameras,AXIS Q16 Series,AXIS Q1656-B,,02164-031,"$1,159.00",A
9,Axis box cameras,AXIS Q16 Series,AXIS Q1656-LE,,02168-001,"$1,899.00",A
9,Axis box cameras,AXIS Q16 Series,AXIS Q1656-BLE,,02442-031,"$1,639.00",A
9,Axis box cameras,AXIS Q16 Series,AXIS Q1656-BE,,02168-031,"$1,319.00",A
10,Axis box cameras,AXIS P15 Series,AXIS P1518-LE,,02757-001,"$1,749.00",A
10,Axis box cameras,AXIS P15 Series,AXIS P1518-E,,02758-001,"$1,599.00",A
10,Axis box cameras,AXIS P13 Series,AXIS P1388,,02737-001,$999.00,A
10,Axis box cameras,AXIS P13 Series,AXIS P1388-B,,02903-001,$949.00,A
10,Axis box cameras,AXIS P13 Series,AXIS P1387,,02735-001,$899.00,A
10,Axis box cameras,AXIS P13 Series,AXIS P1387-B,,02901-001,$849.00,A
11,Axis box cameras,AXIS P13 Series,AXIS P1385,,02733-001,$789.00,A
11,Axis box cameras,AXIS P13 Series,AXIS P1385-B,,02899-001,$739.00,A
11,Axis box cameras,AXIS P13 Series,AXIS P1388-LE,,02738-001,"$1,299.00",A
11,Axis box cameras,AXIS P13 Series,AXIS P1388-BE,,02904-001,"$1,089.00",A
11,Axis box cameras,AXIS P13 Series,AXIS P1387-LE,,02736-001,"$1,199.00",A
11,Axis box cameras,AXIS P13 Series,AXIS P1387-BE,,02902-001,$979.00,A
11,Axis box cameras,AXIS P13 Series,AXIS P1385-E,,02734-001,"$1,059.00",A
11,Axis box cameras,AXIS P13 Series,AXIS P1385-BE,,02900-001,$949.00,A
12,Axis box cameras,AXIS M11 Series,AXIS M1137 Mk II,,02484-001,$569.00,A
12,Axis box cameras,AXIS M11 Series,AXIS M1137-E Mk II,,02486-001,$679.00,A
12,Axis box cameras,AXIS M11 Series,AXIS M1135 Mk II,,02483-001,$479.00,A
12,Axis box cameras,AXIS M11 Series,AXIS M1135-E Mk II,,02485-001,$579.00,A
12,Axis box cameras,AXIS M10 Series,AXIS M1075-L Mk II,,03280-001,$359.00,A
12,Axis box cameras,AXIS M10 Series,AXIS M1055-L,,02349-001,$309.00,A
13,Axis bullet cameras,AXIS Q18 Series,AXIS Q1809-LE,,02870-001,"$6,359.00",A
13,Axis bullet cameras,AXIS Q18 Series,AXIS Q1809-LE,150 mm,03019-001,"$5,299.00",A
13,Axis bullet cameras,AXIS Q18 Series,AXIS Q1808-LE,,02507-001,"$2,169.00",A
13,Axis bullet cameras,AXIS Q18 Series,AXIS Q1808-LE,150 mm,02508-001,"$2,489.00",A
13,Axis bullet cameras,AXIS Q18 Series,AXIS Q1806-LE,,02506-001,"$1,749.00",A
13,Axis bullet cameras,AXIS Q18 Series,AXIS Q1805-LE,,02504-001,"$1,539.00",A
13,Axis bullet cameras,AXIS Q18 Series,AXIS Q1800-LE,,03107-001,"$1,639.00",A
13,Axis bullet cameras,AXIS Q18 Series,AXIS Q1800-LE-3,,03108-001,"$2,169.00",A
14,Axis bullet cameras,AXIS P14 Series,AXIS P1488-LE,,03184-001,"$1,099.00",A
14,Axis bullet cameras,AXIS P14 Series,AXIS P1487-LE,,03183-001,$899.00,A
14,Axis bullet cameras,AXIS P14 Series,AXIS P1485-LE,,03182-001,$849.00,A
14,Axis bullet cameras,AXIS P14 Series,AXIS P1475-LE,,03181-001,$699.00,A
14,Axis bullet cameras,AXIS P14 Series,AXIS P1465-LE-3 License Plate Verifier Kit,,02811-001,"$1,419.00",A
14,Axis bullet cameras,AXIS M20 Series,AXIS M2036-LE,,02125-001,$449.00,A
14,Axis bullet cameras,AXIS M20 Series,AXIS M2035-LE,,02124-001,$399.00,A
15,Axis modular cameras,AXIS P12 Series,AXIS P1275 Mk II,,02859-001,$449.00,A
15,Axis modular cameras,AXIS P12 Series,AXIS P1265 Mk II,,02858-001,$419.00,A
15,Axis modular cameras,AXIS P12 Series,AXIS P1265 Mk II,,02858-021 (10 pcs),"$4,189.00 (10 pcs)",A
15,Axis modular cameras,AXIS P12 Series,AXIS P1245 Mk II,,02857-001,$409.00,A
15,Axis modular cameras,AXIS P12 Series,AXIS P1245 Mk II,,02857-021 (10 pcs),"$4,089.00 (10 pcs)",A
15,Axis modular cameras,AXIS F Series,AXIS F9104-B Mk II,,03000-001,$569.00,A
15,Axis modular cameras,AXIS F Series,AXIS F9111-R Mk II,,02998-001,$619.00,A
15,Axis modular cameras,AXIS F Series,AXIS F9114-R Mk II,,02999-001,$719.00,A
15,Axis modular cameras,AXIS F Series,AXIS F9114-B Mk II,,03001-001,$699.00,A
16,Axis modular cameras,AXIS F Series,AXIS F2107-RE,,02868-001,$319.00,A
16,Axis modular cameras,AXIS F Series,AXIS F2107-RE,,02868-021 (8 pcs),"$2,549.00 (8 pcs)",A
16,Axis modular cameras,AXIS F Series,AXIS F2105-RE,,02640-001,$269.00,A
16,Axis modular cameras,AXIS F Series,AXIS F2105-RE,,02640-021 (8 pcs),"$2,149.00 (8 pcs)",A
16,Axis modular cameras,AXIS F Series,AXIS F2108,,03056-001,$249.00,A
16,Axis modular cameras,AXIS F Series,AXIS F2108,,03056-021 (8 pcs),"$1,989.00 (8 pcs)",A
16,Axis modular cameras,AXIS F Series,AXIS F2135-RE,,02641-001,$269.00,A
16,Axis modular cameras,AXIS F Series,AXIS F2137-RE,,02869-001,$319.00,A
16,Axis modular cameras,AXIS F Series,AXIS F2137-RE,,02869-021 (8 pcs),"$2,549.00 (8 pcs)",A
16,Axis modular cameras,AXIS F Series,AXIS F2115-R,,02639-001,$329.00,A
